Compound ID,Target,Assay (Percent degradation),DOI,DC50,Dmax,Assay (DC50/Dmax),PROTAC to Target
608,CDK2,,10.1016/j.ejmech.2019.111952,,,,
608,CDK9,,10.1016/j.ejmech.2019.111952,,,,
609,CDK2,,10.1016/j.ejmech.2019.111952,,,,
609,CDK9,,10.1016/j.ejmech.2019.111952,,,,
610,CDK9,,10.1016/j.ejmech.2019.111952,33,,Degradation of CDK9 in PC-3 cells after 24 h treatment,
610,CDK2,,10.1016/j.ejmech.2019.111952,62,,Degradation of CDK2 in PC-3 cells after 24 h treatment,
611,CDK2,,10.1016/j.ejmech.2019.111952,,,,
611,CDK9,,10.1016/j.ejmech.2019.111952,,,,
612,CDK9,,10.1016/j.ejmech.2019.111952,,,,
612,CDK2,,10.1016/j.ejmech.2019.111952,,N.D.,,
613,CDK2,,10.1016/j.ejmech.2019.111952,,N.D.,,
613,CDK9,,10.1016/j.ejmech.2019.111952,,,,
614,CDK2,,10.1016/j.ejmech.2019.111952,,N.D.,,
614,CDK9,,10.1016/j.ejmech.2019.111952,,N.D.,,
615,CDK2,,10.1016/j.ejmech.2019.111952,,N.D.,,
615,CDK9,,10.1016/j.ejmech.2019.111952,,N.D.,,
616,CDK2,,10.1016/j.ejmech.2019.111952,,N.D.,,
616,CDK9,,10.1016/j.ejmech.2019.111952,,,,
617,CDK2,,10.1016/j.ejmech.2019.111952,,N.D.,,
617,CDK9,,10.1016/j.ejmech.2019.111952,,N.D.,,
618,BCL-xL,4 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 100 nM
619,BCL-xL,8 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 100 nM
620,BCL-xL,18 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 100 nM
621,BCL-xL,48 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 100 nM
622,BCL-xL,68 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 100 nM
623,BCL-xL,39 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 100 nM
624,BCL-xL,,10.1016/j.ejmech.2020.112186,93,,Degradation of BCL-xL in MOLT-4 cells after 16 h treatment,
625,BCL-xL,38 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 100 nM
626,BCL-xL,22 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 100 nM
627,BCL-xL,38 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 100 nM
628,BCL-xL,21 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 100 nM
629,BCL-xL,52 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 100 nM
630,BCL-xL,28 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 100 nM
631,BCL-xL,45 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 100 nM
632,BCL-xL,22 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 100 nM
633,BCL-xL,25 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 100 nM
634,BCL-xL,40 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 100 nM
635,BCL-xL,,10.1016/j.ejmech.2020.112186,71,,Degradation of BCL-xL in MOLT-4 cells after 16 h treatment,
636,BCL-xL,54 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 100 nM
637,BCL-xL,51 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 100 nM
638,BCL-xL,38 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 100 nM
639,BCL-xL,76 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 100 nM
640,BCL-xL,67 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 100 nM
641,BCL-xL,67 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 100 nM
642,BCL-xL,56 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 50 nM
643,BCL-xL,19 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 50 nM
644,BCL-xL,37 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 50 nM
645,BCL-xL,0 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 50 nM
646,BCL-xL,11 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 50 nM
647,BCL-xL,70 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 50 nM
648,BCL-xL,80 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 50 nM
649,BCL-xL,55 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 50 nM
650,BCL-xL,80 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 50 nM
651,BCL-xL,79 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 50 nM
652,BCL-xL,89 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 50 nM
653,BCL-xL,73 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 50 nM
654,BCL-xL,24 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 50 nM
655,BCL-xL,80 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 50 nM
656,BCL-xL,87 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 50 nM
657,BCL-xL,,10.1016/j.ejmech.2020.112186,4.5,,Degradation of BCL-xL in MOLT-4 cells after 16 h treatment,
658,BCL-xL,34 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 50 nM
659,BCL-xL,33 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 50 nM
660,BCL-xL,72 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 50 nM
661,BCL-xL,71 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 50 nM
662,BCL-xL,,10.1016/j.ejmech.2020.112186,6.3,,Degradation of BCL-xL in MOLT-4 cells after 16 h treatment,
663,BCL-xL,76 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 50 nM
664,BCL-xL,,10.1016/j.ejmech.2020.112186,10.6,,Degradation of BCL-xL in MOLT-4 cells after 16 h treatment,
665,BCL-xL,60 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 50 nM
666,BCL-xL,53 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 50 nM
667,BCL-xL,27 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 50 nM
668,BCL-xL,6 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 50 nM
669,BCL-xL,89 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 50 nM
670,BCL-xL,,10.1016/j.ejmech.2020.112186,2.5,,Degradation of BCL-xL in MOLT-4 cells after 16 h treatment,
671,BCL-xL,95 (WB),10.1016/j.ejmech.2020.112186,,,,% BCL-xL degradation in MOLT-4 cells after 16 h treatment at 50 nM
672,CYP1B1,,10.1016/j.ejmech.2019.112028,,,,
673,CYP1B1,,10.1016/j.ejmech.2019.112028,,,,
674,CYP1B1,,10.1016/j.ejmech.2019.112028,,,,
675,CYP1B1,,10.1016/j.ejmech.2019.112028,,,,
676,eIF4E,,10.1016/j.ejmech.2019.01.080,,,,
677,eIF4E,,10.1016/j.ejmech.2019.01.080,,,,
678,eIF4E,,10.1016/j.ejmech.2019.01.080,,,,
679,eIF4E,,10.1016/j.ejmech.2019.01.080,,,,
680,eIF4E,,10.1016/j.ejmech.2019.01.080,,,,
681,eIF4E,,10.1016/j.ejmech.2019.01.080,,,,
682,eIF4E,,10.1016/j.ejmech.2019.01.080,,,,
683,eIF4E,,10.1016/j.ejmech.2019.01.080,,,,
684,eIF4E,,10.1016/j.ejmech.2019.01.080,,,,
685,eIF4E,,10.1016/j.ejmech.2019.01.080,,,,
686,eIF4E,,10.1016/j.ejmech.2019.01.080,,,,
687,eIF4E,,10.1016/j.ejmech.2019.01.080,,,,
688,eIF4E,,10.1016/j.ejmech.2019.01.080,,,,
689,eIF4E,,10.1016/j.ejmech.2019.01.080,,,,
690,eIF4E,,10.1016/j.ejmech.2019.01.080,,,,
691,eIF4E,,10.1016/j.ejmech.2019.01.080,,,,
692,eIF4E,,10.1016/j.ejmech.2019.01.080,,,,
693,eIF4E,,10.1016/j.ejmech.2019.01.080,,,,
694,CRABP-II,,10.1021/ja100691p,,,,
694,CRABP-I,,10.1021/ja100691p,,,,
695,CRABP-II,,10.1021/ja100691p,,,,
695,CRABP-I,,10.1021/ja100691p,,,,
696,CRABP-I,,10.1021/ja100691p,,,,
696,CRABP-II,,10.1021/ja100691p,,,,
697,BCL-xL,,10.1038/s41591-019-0668-z,63/>3000,90.8/26,Degradation of BCL-xL in MOLT-4/platelets cells after 16 h treatment,
697,BCL-xL,,10.1016/j.ejmech.2020.112186,53,,Degradation of BCL-xL in MOLT-4 cells after 16 h treatment,
698,CDK4,,10.1002/anie.201901336,,,,
698,CDK6,,10.1002/anie.201901336,,,,
699,CDK4,,10.1002/anie.201901336,,,,
699,CDK6,,10.1002/anie.201901336,,,,
700,CDK6,,10.1182/blood.2019003604,,,,
700,CDK4,,10.1182/blood.2019003604,,,,
701,CDK6,,10.1016/j.bmcl.2020.127106,0.8,,Degradation of CDK6 in Jurkat cells after 24 h treatment,
701,Wee1,,10.1016/j.cell.2020.10.038,,,,
701,CDK6,,10.1002/anie.201901336,,,,
701,CDK4,,10.1002/anie.201901336,,,,
701,CDK4,,10.1016/j.bmcl.2020.127106,10,,Degradation of CDK4 in Jurkat cells after 24 h treatment,
702,CDK4,,10.1002/anie.201901336,,,,
702,PDK1,,10.1016/j.cell.2020.10.038,,,,
702,Wee1,,10.1016/j.cell.2020.10.038,,,,
702,CDK6,,10.1002/anie.201901336,,,,
703,CDK6,,10.1002/anie.201901336,,,,
703,CDK4,,10.1002/anie.201901336,,,,
704,CDK4,,10.1182/blood.2019003604,,,,
704,CDK6,,10.1002/anie.201901336,,,,
704,CDK6,,10.1182/blood.2019003604,,,,
704,CDK4,,10.1002/anie.201901336,,,,
705,CDK4,,10.1002/anie.201901336,,,,
705,CDK6,,10.1002/anie.201901336,,,,
706,CDK6,,10.1002/anie.201901336,,,,
706,CDK4,,10.1002/anie.201901336,,,,
707,CDK6,,10.1002/anie.201901336,,,,
707,CDK4,,10.1002/anie.201901336,,,,
708,CDK4,,10.1002/anie.201901336,,,,
708,CDK6,,10.1002/anie.201901336,,,,
709,COQ8A,,10.1016/j.cell.2020.10.038,,,,
709,PDK3,,10.1016/j.cell.2020.10.038,,,,
709,PDK2,,10.1016/j.cell.2020.10.038,,,,
709,PDK1,,10.1016/j.cell.2020.10.038,,,,
709,CDK6,,10.1016/j.cell.2020.10.038,,,,
709,BCKDK,,10.1016/j.cell.2020.10.038,,,,
709,CDK4,,10.1002/anie.201901336,,,,
710,CDK4,,10.1002/anie.201901336,,,,
710,CDK6,,10.1002/anie.201901336,,,,
711,CDK6,,10.1002/anie.201901336,,,,
711,CDK9,,10.1002/anie.201901336,,,,
711,CDK4,,10.1002/anie.201901336,,,,
712,PDEdelta,,10.1002/anie.201913904,,,,
713,PDEdelta,,10.1002/anie.201913904,,,,
714,PDEdelta,,10.1002/anie.201913904,48,83.4,Degradation of PDEdelta in Panc Tu-I cells after 24 h treatment,
715,PDEdelta,,10.1002/anie.201913904,,,,
716,BCL-xL,,10.1039/c9cc07217a,,,,
717,BCL-xL,,10.1039/c9cc07217a,50,,Degradation of BCL-xL in MOLT-4 cells after 16 h treatment,
718,BCL-xL,,10.1039/c9cc07217a,,,,
719,CDK4,,10.1039/c9cc00163h,12.9,,Degradation of CDK4 in MDA-MB-231 cells after 18 h treatment,
719,CDK6,,10.1039/c9cc00163h,34.1,,Degradation of CDK6 in MDA-MB-231 cells after 18 h treatment,
720,CDK6,,10.1039/c9cc00163h,,,,
720,CDK4,,10.1039/c9cc00163h,,,,
721,CDK6,,10.1039/c9cc00163h,300,,Degradation of CDK6 in MDA-MB-231 cells after 18 h treatment,
721,CDK4,,10.1039/c9cc00163h,97,,Degradation of CDK4 in MDA-MB-231 cells after 18 h treatment,
722,CDK4,,10.1039/c9cc00163h,,,,
722,CDK6,,10.1039/c9cc00163h,,,,
723,HDAC6,,10.1039/c9cc08509b,3.2,,Degradation of HDAC6 in MM.1S cells after 24 h treatment,
724,HDAC6,,10.1039/c9cc08509b,,,,
725,HDAC6,,10.1039/c9cc08509b,,,,
726,HDAC6,,10.1039/c9cc08509b,,,,
727,HDAC1,,10.1039/d0cc01485k,,,,
727,HDAC3,,10.1039/d0cc01485k,,,,
727,HDAC2,,10.1039/d0cc01485k,,,,
728,HDAC3,,10.1039/d0cc01485k,,,,
728,HDAC1,26/5/23/62 (WB),10.1039/d0cc01485k,,,,% HDAC1 degradation in HCT116 cells after 24 h treatment at 0.01/0.1/1/10 μM
728,HDAC2,10/0/0/40 (WB),10.1039/d0cc01485k,,,,% HDAC2 degradation in HCT116 cells after 24 h treatment at 0.01/0.1/1/10 μM
729,HDAC1,,10.1039/d0cc01485k,,,,
729,HDAC2,,10.1039/d0cc01485k,,,,
729,HDAC3,,10.1039/d0cc01485k,,,,
730,HDAC1,25/36/52/85 (WB),10.1039/d0cc01485k,,,,% HDAC1 degradation in HCT116 cells after 24 h treatment at 0.01/0.1/1/10 μM
730,HDAC2,21/22/60/76 (WB),10.1039/d0cc01485k,,,,% HDAC2 degradation in HCT116 cells after 24 h treatment at 0.01/0.1/1/10 μM
730,HDAC3,0/27/52/63 (WB),10.1039/d0cc01485k,,,,% HDAC3 degradation in HCT116 cells after 24 h treatment at 0.01/0.1/1/10 μM
731,RAR,,10.1016/j.bmc.2011.09.041,,,,
732,ER,,10.1016/j.bmc.2011.09.041,,,,
733,AR,,10.1016/j.bmc.2011.09.041,,,,
734,CRABP-II,,10.1016/j.bmc.2011.03.057,,,,
735,BRD4,,10.1016/j.bmc.2019.115181,,,,
736,BRD4,,10.1016/j.bmc.2019.115181,,,,
737,BRD3,,10.1016/j.bmc.2019.115181,,,,
737,BRD4,,10.1016/j.bmc.2019.115181,,,,
737,BRD2,,10.1016/j.bmc.2019.115181,,,,
738,BRD4,,10.1016/j.bmc.2019.115181,,,,
739,BRD4,,10.1016/j.bmc.2019.115181,,,,
740,CDK4,,10.1016/j.bmcl.2020.127106,25,,Degradation of CDK4 in Jurkat cells after 24 h treatment,
740,CDK6,,10.1016/j.bmcl.2020.127106,4,,Degradation of CDK6 in Jurkat cells after 24 h treatment,
741,CDK6,,10.1016/j.bmcl.2020.127106,20,,Degradation of CDK6 in Jurkat cells after 24 h treatment,
741,CDK6,,10.1039/d0sc00167h,1.7,,Degradation of CDK6 in MM.1S cells after 16 h treatment,
741,CDK4,,10.1039/d0sc00167h,32,,Degradation of CDK4 in MM.1S cells after 16 h treatment,
741,CDK4,,10.1016/j.bmcl.2020.127106,631,,Degradation of CDK4 in Jurkat cells after 24 h treatment,
742,CDK6,,10.1016/j.bmcl.2020.127106,200,,Degradation of CDK6 in Jurkat cells after 24 h treatment,
742,CDK4,,10.1016/j.bmcl.2020.127106,2512,,Degradation of CDK4 in Jurkat cells after 24 h treatment,
743,CDK6,,10.1016/j.bmcl.2020.127106,5,,Degradation of CDK6 in Jurkat cells after 24 h treatment,
743,CDK4,,10.1016/j.bmcl.2020.127106,20,,Degradation of CDK4 in Jurkat cells after 24 h treatment,
744,CDK4,,10.1016/j.bmcl.2020.127106,79,,Degradation of CDK4 in Jurkat cells after 24 h treatment,
744,CDK6,,10.1016/j.bmcl.2020.127106,16,,Degradation of CDK6 in Jurkat cells after 24 h treatment,
745,CDK6,,10.1016/j.bmcl.2020.127106,1585,,Degradation of CDK6 in Jurkat cells after 24 h treatment,
745,CDK4,,10.1016/j.bmcl.2020.127106,5012,,Degradation of CDK4 in Jurkat cells after 24 h treatment,
746,CDK6,,10.1016/j.bmcl.2020.127106,5,,Degradation of CDK6 in Jurkat cells after 24 h treatment,
746,CDK4,,10.1016/j.bmcl.2020.127106,50,,Degradation of CDK4 in Jurkat cells after 24 h treatment,
747,BCR-ABL,0/19 (WB),10.1016/j.bmcl.2016.09.041,,,,% BCR-ABL degradation in K562 cells after 24 h treatment at 30/100 μM
748,BCR-ABL,76/97 (WB),10.1016/j.bmcl.2016.09.041,,,,% BCR-ABL degradation in K562 cells after 24 h treatment at 30/100 μM
749,BCR-ABL,86/92 (WB),10.1016/j.bmcl.2016.09.041,,,,% BCR-ABL degradation in K562 cells after 24 h treatment at 30/100 μM
750,BTK,,10.1016/j.bmcl.2019.126877,374,49,Degradation of BTK in NAMALWA cells after 24 h treatment,
751,BTK,,10.1016/j.bmcl.2019.126877,162,50,Degradation of BTK in NAMALWA cells after 24 h treatment,
752,BTK,,10.1016/j.bmcl.2019.126877,>1000,,Degradation of BTK in NAMALWA cells after 24 h treatment,
753,BTK,,10.1016/j.bmcl.2019.126877,8.3,91,Degradation of BTK in NAMALWA cells after 24 h treatment,
754,BTK,,10.1016/j.bmcl.2019.126877,7.9,95,Degradation of BTK in NAMALWA cells after 24 h treatment,
755,JAK2,,10.1016/j.bmc.2020.115326,,,,
755,JAK1,,10.1016/j.bmc.2020.115326,,,,
756,JAK2,,10.1016/j.bmc.2020.115326,,,,
756,JAK1,,10.1016/j.bmc.2020.115326,,,,
757,JAK1,,10.1016/j.bmc.2020.115326,,N.D.,,
757,JAK2,,10.1016/j.bmc.2020.115326,,N.D.,,
758,JAK2,,10.1016/j.bmc.2020.115326,,,,
758,JAK1,,10.1016/j.bmc.2020.115326,,,,
759,JAK2,,10.1016/j.bmc.2020.115326,,N.D.,,
759,JAK1,,10.1016/j.bmc.2020.115326,,N.D.,,
760,JAK1,,10.1016/j.bmc.2020.115326,,N.D.,,
760,JAK2,,10.1016/j.bmc.2020.115326,,N.D.,,
761,JAK1,,10.1016/j.bmc.2020.115326,,,,
761,JAK2,,10.1016/j.bmc.2020.115326,,,,
762,JAK2,,10.1016/j.bmc.2020.115326,,,,
762,JAK1,,10.1016/j.bmc.2020.115326,,,,
763,JAK2,,10.1016/j.bmc.2020.115326,,,,
763,JAK1,,10.1016/j.bmc.2020.115326,,,,
764,JAK2,,10.1016/j.bmc.2020.115326,,,,
764,JAK1,,10.1016/j.bmc.2020.115326,,,,
765,JAK1,,10.1016/j.bmc.2020.115326,,N.D.,,
765,JAK2,,10.1016/j.bmc.2020.115326,,N.D.,,
766,JAK1,,10.1016/j.bmc.2020.115326,,,,
766,JAK2,,10.1016/j.bmc.2020.115326,,,,
767,JAK1,,10.1016/j.bmc.2020.115326,,,,
767,JAK2,,10.1016/j.bmc.2020.115326,,,,
768,JAK1,,10.1016/j.bmc.2020.115326,,,,
768,JAK2,,10.1016/j.bmc.2020.115326,,,,
769,JAK1,,10.1016/j.bmc.2020.115326,,,,
769,JAK2,,10.1016/j.bmc.2020.115326,,,,
770,JAK2,,10.1016/j.bmc.2020.115326,,,,
770,JAK1,,10.1016/j.bmc.2020.115326,,,,
771,JAK1,,10.1016/j.bmc.2020.115326,,,,
771,JAK2,,10.1016/j.bmc.2020.115326,,,,
772,JAK1,,10.1016/j.bmc.2020.115326,,N.D.,,
772,JAK2,,10.1016/j.bmc.2020.115326,,N.D.,,
773,JAK1,,10.1016/j.bmc.2020.115326,,,,
773,JAK2,,10.1016/j.bmc.2020.115326,,,,
774,JAK1,,10.1016/j.bmc.2020.115326,,N.D.,,
774,JAK2,,10.1016/j.bmc.2020.115326,,N.D.,,
775,JAK2,,10.1016/j.bmc.2020.115326,,N.D.,,
775,JAK1,,10.1016/j.bmc.2020.115326,,N.D.,,
776,JAK2,,10.1016/j.bmc.2020.115326,,,,
776,JAK1,,10.1016/j.bmc.2020.115326,,,,
777,JAK2,,10.1016/j.bmc.2020.115326,,,,
777,JAK1,,10.1016/j.bmc.2020.115326,,,,
778,JAK2,,10.1016/j.bmc.2020.115326,,,,
778,JAK1,,10.1016/j.bmc.2020.115326,,,,
779,BRD4,,10.1016/j.bmc.2019.115228,,,,
780,BRD4,,10.1016/j.bmc.2019.115228,,,,
781,BRD4,,10.1016/j.bmc.2019.115228,,,,
782,BRD4,,10.1016/j.bmc.2019.115228,,,,
783,BRD4,,10.1016/j.bmc.2019.115228,,,,
784,BRD4,,10.1016/j.bmc.2019.115228,,,,
785,BRD4,,10.1016/j.bmc.2019.115228,,,,
786,BRD4,,10.1016/j.bmc.2019.115228,,,,
787,BRD4,,10.1016/j.bmc.2019.115228,,,,
788,BRD4,,10.1016/j.bmc.2019.115228,,,,
789,BRD4,,10.1016/j.bmc.2019.115228,,,,
790,BRD4,,10.1016/j.bmc.2019.115228,,,,
791,BRD4,,10.1016/j.bmc.2019.115228,,,,
792,BRD4,,10.1016/j.bmc.2019.115228,,,,
793,BRD4,,10.1016/j.bmc.2019.115228,,,,
794,BRD4,,10.1016/j.bmc.2019.115228,,,,
795,BRD4,,10.1016/j.bmc.2019.115228,,,,
796,SMARCA2,,10.1038/s41589-019-0294-6,300,65,Degradation of SMARCA2 in MV-4-11 cells after 18 h treatment,
796,PBRM1,,10.1038/s41589-019-0294-6,,,,
796,SMARCA4,,10.1038/s41589-019-0294-6,250,70,Degradation of SMARCA4 in MV-4-11 cells after 18 h treatment,
797,SMARCA2,,10.1038/s41589-019-0294-6,,,,
797,PBRM1,,10.1038/s41589-019-0294-6,,,,
797,SMARCA4,,10.1038/s41589-019-0294-6,,,,
798,PBRM1,,10.1038/s41589-019-0294-6,32/15.6,,Degradation of PBRM1 in MV-4-11/NCI-H1568 cells after 18 h treatment,
798,SMARCA2,,10.1038/s41589-019-0294-6,6/3.3,,Degradation of SMARCA2 in MV-4-11/NCI-H1568 cells after 18 h treatment,
798,SMARCA4,,10.1038/s41589-019-0294-6,11,,Degradation of SMARCA2 in MV-4-11 cells after 18 h treatment,
799,CDK9,,10.1038/nchembio.2538,,,,
800,CDK9,,10.1038/nchembio.2538,,,,
801,CDK9,,10.1038/nchembio.2538,,,,
802,CDK9,,10.1038/nchembio.2538,,,,
803,CDK9,,10.1038/nchembio.2538,,,,
804,FKBP12,,10.1038/s41589-019-0279-5,,,,
805,FKBP12,,10.1038/s41589-019-0279-5,,,,
806,FKBP12,,10.1038/s41589-019-0279-5,,,,
807,FKBP12,,10.1038/s41589-019-0279-5,,,,
808,BRD4,,10.1038/s41589-019-0279-5,,,,
809,IRAK4,,10.1021/acsmedchemlett.9b00219,,N.D.,,
810,IRAK4,,10.1021/acsmedchemlett.9b00219,,50,,
811,IRAK4,,10.1021/acsmedchemlett.9b00219,,N.D.,,
812,IRAK4,,10.1021/acsmedchemlett.9b00219,,N.D.,,
813,IRAK4,,10.1021/acsmedchemlett.9b00219,,N.D.,,
814,IRAK4,,10.1021/acsmedchemlett.9b00219,,N.D.,,
815,IRAK4,,10.1021/acsmedchemlett.9b00219,259,,Degradation of IRAK4 in PBMC cells after 24 h treatment,
816,IRAK4,,10.1021/acsmedchemlett.9b00219,151/36,,Degradation of IRAK4 in PBMC cells/dermal fibroblast after 24/24 h treatment,
817,PLK1,,10.1016/j.bbrc.2019.11.007,10-20,,Degradation of PLK1 in MV4-11 cells after 24 h treatment,
817,BRD4,,10.1016/j.bbrc.2019.11.007,<5,,Degradation of BRD4 in MV4-11 cells after 24 h treatment,
818,BRD4,,10.1016/j.bbrc.2019.11.007,,,,
818,PLK1,,10.1016/j.bbrc.2019.11.007,,,,
819,CRABP-I,21/21/37/39/55 (WB),10.1021/acschembio.9b00704,,,,% CRABP-I degradation in IMR-32 cells after 24 h treatment at 0.1/0.3/1/3/10 μM
819,CRABP-II,7/42/48/54/55 (WB),10.1021/acschembio.9b00704,,,,% CRABP-II degradation in IMR-32 cells after 24 h treatment at 0.1/0.3/1/3/10 μM
820,CRABP-II,0/4/32 (WB),10.1021/acschembio.9b00704,,,,% CRABP-II degradation in IMR-32 cells after 24 h treatment at 0.1/1/10 μM
820,CRABP-I,3/20/35 (WB),10.1021/acschembio.9b00704,,,,% CRABP-I degradation in IMR-32 cells after 24 h treatment at 0.1/1/10 μM
821,CRABP-I,37/45/51/46/43 (WB),10.1021/acschembio.9b00704,,,,% CRABP-I degradation in IMR-32 cells after 8 h treatment at 0.3/1/3/10/30 μM
821,CRABP-II,29/48/52/47/35 (WB),10.1021/acschembio.9b00704,,,,% CRABP-II degradation in IMR-32 cells after 8 h treatment at 0.3/1/3/10/30 μM
822,BRD4,20/6/0/45 (WB),10.1021/acschembio.9b00704,,,,% BRD4 degradation in MCF7 cells after 24 h treatment at 0.01/0.1/1/10 μM
822,BRD2,6/1/4/34 (WB),10.1021/acschembio.9b00704,,,,% BRD2 degradation in MCF7 cells after 24 h treatment at 0.01/0.1/1/10 μM
822,BRD3,16/45/63/66 (WB),10.1021/acschembio.9b00704,,,,% BRD3 degradation in MCF7 cells after 24 h treatment at 0.01/0.1/1/10 μM
823,ER,,10.1021/acschembio.0c00140,,,,
824,ER,,10.1021/acschembio.0c00140,,,,
825,ER,,10.1021/acschembio.0c00140,7.7/10.3,95/98,Degradation of ERalpha in MCF-7/T47D cells after 6 h treatment,
826,ER,,10.1021/acschembio.0c00140,,,,
827,ER,,10.1021/acschembio.0c00140,,,,
828,ER,,10.1021/acschembio.0c00140,,,,
829,ER,,10.1021/acschembio.0c00140,,,,
830,ER,,10.1021/acschembio.0c00140,,,,
831,ER,,10.1021/acschembio.0c00140,,,,
832,ER,,10.1021/acschembio.0c00140,,,,
833,ER,,10.1021/acschembio.0c00140,,,,
834,ER,,10.1021/acschembio.0c00140,,,,
835,ER,,10.1021/acschembio.0c00140,,,,
836,ER,,10.1021/acschembio.0c00140,,,,
837,ER,,10.1021/acschembio.0c00140,,,,
